Category: All categories

Month,social media is good: (Worldwide),social media is bad: (Worldwide)
2004-01,0,0
2004-02,0,0
2004-03,0,0
2004-04,0,0
2004-05,0,0
2004-06,0,0
2004-07,0,0
2004-08,0,0
2004-09,0,0
2004-10,0,0
2004-11,0,0
2004-12,0,0
2005-01,0,0
2005-02,0,0
2005-03,0,0
2005-04,0,0
2005-05,0,0
2005-06,0,0
2005-07,0,0
2005-08,0,0
2005-09,0,0
2005-10,0,0
2005-11,0,0
2005-12,0,0
2006-01,0,0
2006-02,0,0
2006-03,8,0
2006-04,0,0
2006-05,0,0
2006-06,0,0
2006-07,0,0
2006-08,0,0
2006-09,0,0
2006-10,0,0
2006-11,0,0
2006-12,0,0
2007-01,0,0
2007-02,0,0
2007-03,0,0
2007-04,0,0
2007-05,0,0
2007-06,0,0
2007-07,5,0
2007-08,0,0
2007-09,0,0
2007-10,4,4
2007-11,0,0
2007-12,0,0
2008-01,0,0
2008-02,0,0
2008-03,0,0
2008-04,0,0
2008-05,0,0
2008-06,4,0
2008-07,0,0
2008-08,4,4
2008-09,0,0
2008-10,0,0
2008-11,0,0
2008-12,0,0
2009-01,0,0
2009-02,0,0
2009-03,0,0
2009-04,3,3
2009-05,0,0
2009-06,0,0
2009-07,0,0
2009-08,0,0
2009-09,0,0
2009-10,0,0
2009-11,5,0
2009-12,2,0
2010-01,4,0
2010-02,0,2
2010-03,2,0
2010-04,0,0
2010-05,2,2
2010-06,2,0
2010-07,4,0
2010-08,4,0
2010-09,2,0
2010-10,6,2
2010-11,2,0
2010-12,2,0
2011-01,7,0
2011-02,5,3
2011-03,5,2
2011-04,7,2
2011-05,6,5
2011-06,2,2
2011-07,6,2
2011-08,5,2
2011-09,7,0
2011-10,7,7
2011-11,11,3
2011-12,7,1
2012-01,6,3
2012-02,3,4
2012-03,10,2
2012-04,8,12
2012-05,5,4
2012-06,5,5
2012-07,9,2
2012-08,12,9
2012-09,5,4
2012-10,19,9
2012-11,16,9
2012-12,9,7
2013-01,11,7
2013-02,8,4
2013-03,9,7
2013-04,20,12
2013-05,21,11
2013-06,7,4
2013-07,9,6
2013-08,9,6
2013-09,11,6
2013-10,15,11
2013-11,19,10
2013-12,22,8
2014-01,12,16
2014-02,23,17
2014-03,20,12
2014-04,23,19
2014-05,20,22
2014-06,8,8
2014-07,14,10
2014-08,13,15
2014-09,21,13
2014-10,19,29
2014-11,17,19
2014-12,16,22
2015-01,21,15
2015-02,30,26
2015-03,31,26
2015-04,30,27
2015-05,34,18
2015-06,18,13
2015-07,16,14
2015-08,17,15
2015-09,23,24
2015-10,19,22
2015-11,45,33
2015-12,26,21
2016-01,23,19
2016-02,37,28
2016-03,39,27
2016-04,46,33
2016-05,36,24
2016-06,20,16
2016-07,18,12
2016-08,28,19
2016-09,35,25
2016-10,42,30
2016-11,39,17
2016-12,25,29
2017-01,29,28
2017-02,47,34
2017-03,46,42
2017-04,32,42
2017-05,40,36
2017-06,21,17
2017-07,24,16
2017-08,27,16
2017-09,28,21
2017-10,44,30
2017-11,51,33
2017-12,28,34
2018-01,41,41
2018-02,48,54
2018-03,54,49
2018-04,36,33
2018-05,43,37
2018-06,27,18
2018-07,27,16
2018-08,28,21
2018-09,48,31
2018-10,50,41
2018-11,55,32
2018-12,33,21
2019-01,42,40
2019-02,46,38
2019-03,61,40
2019-04,48,41
2019-05,46,32
2019-06,31,27
2019-07,40,16
2019-08,32,21
2019-09,45,28
2019-10,52,45
2019-11,50,40
2019-12,45,29
2020-01,49,37
2020-02,61,55
2020-03,47,38
2020-04,61,28
2020-05,60,34
2020-06,43,23
2020-07,37,23
2020-08,41,25
2020-09,71,44
2020-10,65,34
2020-11,69,39
2020-12,49,30
2021-01,56,41
2021-02,57,42
2021-03,75,49
2021-04,85,43
2021-05,85,50
2021-06,64,32
2021-07,56,23
2021-08,46,22
2021-09,53,38
2021-10,86,50
2021-11,100,47
